SEMANA,FECHA,INFECTADOS,EXPUESTOS,RECUPERADOS,SUSCEPTIBLES
0,18/12/2022,2711,270,17,4129150
1,25/12/2022,2722,271,17,4129138
2,01/01/2023,2755,277,17,4129099
3,08/01/2023,2901,285,18,4128944
4,15/01/2023,3206,295,19,4128628
5,22/01/2023,3422,299,21,4128406
6,29/01/2023,3533,301,21,4128293
7,05/02/2023,3585,303,21,4128239
8,12/02/2023,3604,304,21,4128219
9,19/02/2023,3616,306,21,4128205
10,26/02/2023,3624,307,21,4128196
11,05/03/2023,3629,308,21,4128190
12,12/03/2023,3633,309,21,4128185
13,19/03/2023,3636,310,21,4128181
14,26/03/2023,3644,312,21,4128171
15,02/04/2023,3648,313,21,4128166
16,09/04/2023,3655,314,21,4128158
17,16/04/2023,3656,316,20,4128156
18,23/04/2023,3668,317,20,4128143
19,30/04/2023,3671,318,20,4128139
20,07/05/2023,3676,319,20,4128133
21,14/05/2023,3682,321,20,4128125
22,21/05/2023,3687,322,20,4128119
23,28/05/2023,3693,323,20,4128112
24,04/06/2023,3699,325,20,4128104
25,11/06/2023,3704,326,20,4128098
26,18/06/2023,3710,327,20,4128091
